Conference,Year,Title,DOI
VIS,2021,Interactive Dimensionality Reduction for Comparative Analysis,10.1109/TVCG.2021.3114807
VIS,2021,Real-Time Denoising of Volumetric Path Tracing for Direct Volume Rendering,10.1109/TVCG.2020.3037680
VIS,2021,3D Virtual Pancreatography,10.1109/TVCG.2020.3020958
VIS,2021,Rethinking the Ranks of Visual Channels,10.1109/TVCG.2021.3114684
VIS,2021,Modeling Just Noticeable Differences in Charts,10.1109/TVCG.2021.3114874
VIS,2021,What we talk about when we talk about data physicality,10.1109/MCG.2020.3024146
VIS,2021,Natural Language to Visualization by Neural Machine Translation,10.1109/TVCG.2021.3114848
VIS,2021,Gosling: A Grammar-based Toolkit for Scalable and Interactive Genomics Data Visualization,10.1109/TVCG.2021.3114876
VIS,2021,Interactive Graph Construction for Graph-Based Semi-Supervised Learning,10.1109/TVCG.2021.3084694
VIS,2021,Differentiable Direct Volume Rendering,10.1109/TVCG.2021.3114769
VIS,2021,Interactive Visual Exploration of Longitudinal Historical Career Mobility Data,10.1109/TVCG.2021.3067200
VIS,2021,A State-of-the-Art Survey of Tasks for Tree Design and Evaluation with a Curated Task Dataset,10.1109/TVCG.2021.3064037
VIS,2021,STRATISFIMAL LAYOUT: A Modular Optimization Model for Laying Out Layered Node-link Network Visualizations,10.1109/TVCG.2021.3114756
VIS,2021,A Design Space for Applying the Freytag’s Pyramid Structure to Data Stories,10.1109/TVCG.2021.3114774
VIS,2021,Interactive Data Comics,10.1109/TVCG.2021.3114849
VIS,2021,Examining Effort in 1D Uncertainty Communication Using Individual Differences in Working Memory and NASA-TLX,10.1109/TVCG.2021.3114803
VIS,2021,Visualization Equilibrium,10.1109/TVCG.2021.3114842
VIS,2021,Visual Analysis of Hyperproperties for Understanding Model Checking Results,10.1109/TVCG.2021.3114866
VIS,2021,COVID-view: Diagnosis of COVID-19 using Chest CT,10.1109/TVCG.2021.3114851
VIS,2021,ThreadStates: State-based Visual Analysis of Disease Progression,10.1109/TVCG.2021.3114840
VIS,2021,Loon: Using Exemplars to Visualize Large Scale Microscopy Data,10.1109/TVCG.2021.3114766
VIS,2021,Scalable Scalable Vector Graphics: Automatic Translation of Interactive SVGs to a Multithread VDOM for Fast Rendering,10.1109/TVCG.2021.3059294
VIS,2021,Probabilistic Data-Driven Sampling via Multi-Criteria Importance Analysis,10.1109/TVCG.2020.3006426
VIS,2021,Visual Evaluation for Autonomous Driving,10.1109/TVCG.2021.3114777
VIS,2021,Visual Cascade Analytics of Large-scale Spatiotemporal Data,10.1109/TVCG.2021.3071387
VIS,2021,Understanding Missing Links in Bipartite Networks with MissBiN,10.1109/TVCG.2020.3032984
VIS,2021,Understanding Data Visualization Design Practice,10.1109/TVCG.2021.3114959
