Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Type
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,1.0,R. Raskar,https://openalex.org/A2140705446,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",education
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,2.0,M.S. Brown,https://openalex.org/A2594426199,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",education
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,3.0,Ruigang Yang,https://openalex.org/A2128441350,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",education
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,4.0,Wei-Chao Chen,https://openalex.org/A2126800556,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",education
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,5.0,G. Welch,https://openalex.org/A2119776096,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",education
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,6.0,H. Towles,https://openalex.org/A1967971791,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",education
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,7.0,B. Scales,https://openalex.org/A3161433347,"[Dept. of Computer Science, University of North Carolina, Chapel Hill]",education
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,8.0,8.0,H. Fuchs,https://openalex.org/A2196043388,"Department of Computer Science, North Carolina State University, Chapel Hill, USA",education
1996,10.1109/VISUAL.1996.568108,A haptic interaction method for volume visualization,2.0,1.0,R.S. Avila,https://openalex.org/A2622293249,"GE Corporate Research and Development Center, Schenectady, NY, USA",company
1996,10.1109/VISUAL.1996.568108,A haptic interaction method for volume visualization,2.0,2.0,L.M. Sobierajski,https://openalex.org/A2309715070,"GE Corporate Research and Development Center, Schenectady, NY, USA",company
2002,10.1109/INFVIS.2002.1173148,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",3.0,1.0,C. Plaisant,https://openalex.org/A216611935,"Human-Computer Interaction Laboratory, University of Maryland, USA",education
2002,10.1109/INFVIS.2002.1173148,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",3.0,2.0,J. Grosjean,https://openalex.org/A2119265685,"Human-Computer Interaction Laboratory, University of Maryland, USA",education
2002,10.1109/INFVIS.2002.1173148,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation",3.0,3.0,B.B. Bederson,https://openalex.org/A2046653803,"Human-Computer Interaction Laboratory, University of Maryland, USA",education
2007,10.1109/TVCG.2007.70539,Animated Transitions in Statistical Data Graphics,2.0,1.0,Jeffrey Heer,https://openalex.org/A2112690490,"Computer Science Division, University of California, Berkeley, USA",education
2007,10.1109/TVCG.2007.70539,Animated Transitions in Statistical Data Graphics,2.0,2.0,George Robertson,https://openalex.org/A2172094290,"Microsoft Research Limited, USA",company
2008,10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,3.0,1.0,Niklas Elmqvist,https://openalex.org/A2193023912,"INRIA, Paris, France",government
2008,10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,3.0,2.0,Pierre Dragicevic,https://openalex.org/A89785269,"INRIA, Paris, France",government
2008,10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,3.0,3.0,Jean-Daniel Fekete,https://openalex.org/A2154968417,"INRIA, Paris, France",government
1998,10.1109/VISUAL.1998.745280,Large scale terrain visualization using the restricted quadtree triangulation,1.0,1.0,R. Pajarola,https://openalex.org/A1975963237,"ETH, Zurich, Switzerland",education
1996,10.1109/VISUAL.1996.568126,Dynamic view-dependent simplification for polygonal models,2.0,1.0,J.C. Xia,https://openalex.org/A2974198624,"State University of New York, Stony Brook, USA",education
1996,10.1109/VISUAL.1996.568126,Dynamic view-dependent simplification for polygonal models,2.0,2.0,A. Varshney,https://openalex.org/A2106788355,"State University of New York, Stony Brook, USA",education
2006,10.1109/TVCG.2006.115,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,3.0,1.0,Marco Tarini,https://openalex.org/A1986355708,"Università dell'Insubria, Varese, Italy",education
2006,10.1109/TVCG.2006.115,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,3.0,2.0,Paolo Cignoni,https://openalex.org/A391330844,"I. S. T. I.-C. N. R, Pisa, Italy",company
2006,10.1109/TVCG.2006.115,Ambient Occlusion and Edge Cueing for Enhancing Real Time Molecular Visualization,3.0,3.0,Claudio Montani,https://openalex.org/A2103525648,"I. S. T. I.-C. N. R, Pisa, Italy",company
2012,10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,3.0,1.0,Michael Sedlmair,https://openalex.org/A2078060999,"University of British, Colombia",education
2012,10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,3.0,2.0,Miriah Meyer,https://openalex.org/A2113885942,"University of Utah, USA",education
2012,10.1109/TVCG.2012.213,Design Study Methodology: Reflections from the Trenches and the Stacks,3.0,3.0,Tamara Munzner,https://openalex.org/A544170546,"University of British, Colombia",education
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,1.0,Nivan Ferreira,https://openalex.org/A2112335262,"Polytechnic Institute of New York University, USA",education
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,2.0,Jorge Poco,https://openalex.org/A2030526288,"Polytechnic Institute of New York University, USA",education
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,3.0,Huy T. Vo,https://openalex.org/A2055039322,"CUSP, New York University, USA",education
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,4.0,Juliana Freire,https://openalex.org/A2116519607,"Polytechnic Institute of New York University, USA",education
2013,10.1109/TVCG.2013.226,Visual Exploration of Big Spatio-Temporal Urban Data: A Study of New York City Taxi Trips,5.0,5.0,Cláudio T. Silva,https://openalex.org/A2150576810,"Polytechnic Institute of New York University, USA",education
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,1.0,S. Parker,https://openalex.org/A1995003537,"Computer Science Department, University of Utah, USA",education
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,2.0,P. Shirley,https://openalex.org/A2103213634,"Computer Science Department, University of Utah, USA",education
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,3.0,Y. Livnat,https://openalex.org/A37046778,"Computer Science Department, University of Utah, USA",education
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,4.0,C. Hansen,https://openalex.org/A2059591427,"Computer Science Department, University of Utah, USA",education
1998,10.1109/VISUAL.1998.745713,Interactive ray tracing for isosurface rendering,5.0,5.0,P.-P. Sloan,https://openalex.org/A1988707485,"Computer Science Department, University of Utah, USA",education
