Year,DOI,Title,Number of Authors,Author Position,Author Name,OpenAlex Author ID,Affiliation Name,Affiliation Country Code
2006,10.1109/TVCG.2006.178,Software Design Patterns for Information Visualization,2.0,1.0,Jeffrey Heer,https://openalex.org/A2112690490,computer science division university of california berkeley usa,US
2006,10.1109/TVCG.2006.178,Software Design Patterns for Information Visualization,2.0,2.0,Maneesh Agrawala,https://openalex.org/A718039462,computer science division university of california berkeley usa,US
2009,10.1109/TVCG.2009.108,"""Search, Show Context, Expand on Demand"": Supporting Large Graph Exploration with Degree-of-Interest",2.0,1.0,Frank van Ham,https://openalex.org/A2107229462,ibm ilog research gentilly france,US
2009,10.1109/TVCG.2009.108,"""Search, Show Context, Expand on Demand"": Supporting Large Graph Exploration with Degree-of-Interest",2.0,2.0,Adam Perer,https://openalex.org/A2049716498,ibm research haifa israel,IL
2006,10.1109/TVCG.2006.170,Outlier-Preserving Focus+Context Visualization in Parallel Coordinates,2.0,1.0,Matej Novotny,https://openalex.org/A2114300165,comenius university bratislava slovakia,SK
2006,10.1109/TVCG.2006.170,Outlier-Preserving Focus+Context Visualization in Parallel Coordinates,2.0,2.0,Helwig Hauser,https://openalex.org/A2138458960,vrvis research center vienna austria,AT
1999,10.1109/VISUAL.1999.809890,A distributed graphics system for large tiled displays,2.0,1.0,G. Humphreys,https://openalex.org/A2154627022,computer science department university of stanford usa,US
1999,10.1109/VISUAL.1999.809890,A distributed graphics system for large tiled displays,2.0,2.0,P. Hanrahan,https://openalex.org/A2225733586,computer science department university of stanford usa,US
2012,10.1109/TVCG.2012.265,Stacking-Based Visualization of Trajectory Attribute Data,4.0,1.0,Christian Tominski,https://openalex.org/A1971971201,university of rostock germany,DE
2012,10.1109/TVCG.2012.265,Stacking-Based Visualization of Trajectory Attribute Data,4.0,2.0,Heidrun Schumann,https://openalex.org/A2107935922,university of rostock germany,DE
2012,10.1109/TVCG.2012.265,Stacking-Based Visualization of Trajectory Attribute Data,4.0,3.0,Gennady Andrienko,https://openalex.org/A237265413,fraunhofer institute iais germany,DE
2012,10.1109/TVCG.2012.265,Stacking-Based Visualization of Trajectory Attribute Data,4.0,4.0,Natalia Andrienko,https://openalex.org/A1983982202,fraunhofer institute iais germany,DE
1999,10.1109/VISUAL.1999.809910,A fast volume rendering algorithm for time-varying fields using a time-space partitioning (TSP) tree,3.0,1.0,H.-W. Shen,https://openalex.org/A2136258827,department of computer and information science ohio state uinversity columbus oh usa,US
